n_2DEG,Total Mobility,Remote Impurity Mobility,Dislocation Mobility,Background Impurity Mobility,Alloy Disorder Mobility,Optical Phonon Mobility,Interface Roughness Mobility,Remote Barrier Mobility
2.494917891789178880e+18,7.218643943125741202e+01,8.104053816169369507e+10,1.116602322691410035e+08,5.761564440517498255e+08,7.361460015283800828e+01,8.932468292012561035e+10,3.876753214806945380e+03,9.261775789907852595e+04
2.495217821782178304e+18,7.218353526206931292e+01,8.105515220086810303e+10,1.116798821327695101e+08,5.762603423356822729e+08,7.361165050462174975e+01,8.932468292012561035e+10,3.876528211040351835e+03,9.263445965813497605e+04
2.495517751775177728e+18,7.218063155524501440e+01,8.106976711838677979e+10,1.116995331297257543e+08,5.763642468641893864e+08,7.360870132910474695e+01,8.932468292012561035e+10,3.876303246354747444e+03,9.265116242101344687e+04
2.495817681768176640e+18,7.217772831065614980e+01,8.108438291419682312e+10,1.117191852599432468e+08,5.764681576368958950e+08,7.360575262615449788e+01,8.932468292012561035e+10,3.876078320738852199e+03,9.266786618765354797e+04
2.496117611761176064e+18,7.217482552817433827e+01,8.109899958824560547e+10,1.117388385233548582e+08,5.765720746534265280e+08,7.360280439563847210e+01,8.932468292012561035e+10,3.875853434181388820e+03,9.268457095799497620e+04
2.496417541754175488e+18,7.217192320767131264e+01,8.111361714048034668e+10,1.117584929198939204e+08,5.766759979134062529e+08,7.359985663742422446e+01,8.932468292012561035e+10,3.875628586671083212e+03,9.270127673197751574e+04
2.496717471747174912e+18,7.216902134901880572e+01,8.112823557084812927e+10,1.117781484494919628e+08,5.767799274164601564e+08,7.359690935137938084e+01,8.932468292012561035e+10,3.875403778196664007e+03,9.271798350954077614e+04
2.497017401740173824e+18,7.216611995208863561e+01,8.114285487929641724e+10,1.117978051120840311e+08,5.768838631622127295e+08,7.359396253737155291e+01,8.932468292012561035e+10,3.875179008746871204e+03,9.273469129062448337e+04
2.497317331733173248e+18,7.216321901675264883e+01,8.115747506577232361e+10,1.118174629076043069e+08,5.769878051502896547e+08,7.359101619526850868e+01,8.932468292012561035e+10,3.874954278310445261e+03,9.275140007516834885e+04
2.497617261726172672e+18,7.216031854288276293e+01,8.117209613022320557e+10,1.118371218359850943e+08,5.770917533803157806e+08,7.358807032493800193e+01,8.932468292012561035e+10,3.874729586876130725e+03,9.276810986311228771e+04
2.497917191719172096e+18,7.215741853035089548e+01,8.118671807259631348e+10,1.118567818971585929e+08,5.771957078519161940e+08,7.358512492624780066e+01,8.932468292012561035e+10,3.874504934432672599e+03,9.278482065439580765e+04
2.498217121712171520e+18,7.215451897902912037e+01,8.120134089283897400e+10,1.118764430910597295e+08,5.772996685647164583e+08,7.358217999906585760e+01,8.932468292012561035e+10,3.874280320968831347e+03,9.280153244895883836e+04
2.498517051705170432e+18,7.215161988878945465e+01,8.121596459089837646e+10,1.118961054176211953e+08,5.774036355183415413e+08,7.357923554326005444e+01,8.932468292012561035e+10,3.874055746473360614e+03,9.281824524674101849e+04
2.498816981698169856e+18,7.214872125950398640e+01,8.123058916672193909e+10,1.119157688767772913e+08,5.775076087124171257e+08,7.357629155869834392e+01,8.932468292012561035e+10,3.873831210935028139e+03,9.283495904768223409e+04
2.499116911691169280e+18,7.214582309104491742e+01,8.124521462025698853e+10,1.119354334684597254e+08,5.776115881465686560e+08,7.357334804524879246e+01,8.932468292012561035e+10,3.873606714342599389e+03,9.285167385172229842e+04
2.499416841684168704e+18,7.214292538328447790e+01,8.125984095145082092e+10,1.119550991926055402e+08,5.777155738204215765e+08,7.357040500277950912e+01,8.932468292012561035e+10,3.873382256684848016e+03,9.286838965880093747e+04
2.499716771677167616e+18,7.214002813609486964e+01,8.127446816025070190e+10,1.119747660491428226e+08,5.778195657336013317e+08,7.356746243115858874e+01,8.932468292012561035e+10,3.873157837950548583e+03,9.288510646885796450e+04
2.500016701670167040e+18,7.213713134934839388e+01,8.128909624660409546e+10,1.119944340380098969e+08,5.779235638857340813e+08,7.356452033025419723e+01,8.932468292012561035e+10,3.872933458128485199e+03,9.290182428183326556e+04
2.500316631663166464e+18,7.213423502291749401e+01,8.130372521045834351e+10,1.120141031591370851e+08,5.780275682764452696e+08,7.356157869993464260e+01,8.932468292012561035e+10,3.872709117207439704e+03,9.291854309766669758e+04
2.500616561656165888e+18,7.213133915667447127e+01,8.131835505176072693e+10,1.120337734124585390e+08,5.781315789053606987e+08,7.355863754006814759e+01,8.932468292012561035e+10,3.872484815176203483e+03,9.293526291629798652e+04
2.500916491649164800e+18,7.212844375049188272e+01,8.133298577045870972e+10,1.120534447979098260e+08,5.782355957721060514e+08,7.355569685052310547e+01,8.932468292012561035e+10,3.872260552023573837e+03,9.295198373766707664e+04
2.501216421642164224e+18,7.212554880424222858e+01,8.134761736649963379e+10,1.120731173154216409e+08,5.783396188763076067e+08,7.355275663116793794e+01,8.932468292012561035e+10,3.872036327738349428e+03,9.296870556171389762e+04
2.501516351635163648e+18,7.212265431779802327e+01,8.136224983983093262e+10,1.120927909649274945e+08,5.784436482175914049e+08,7.354981688187105249e+01,8.932468292012561035e+10,3.871812142309330284e+03,9.298542838837821910e+04
2.501816281628163072e+18,7.211976029103190911e+01,8.137688319039999390e+10,1.121124657463642210e+08,5.785476837955832481e+08,7.354687760250095607e+01,8.932468292012561035e+10,3.871587995725329620e+03,9.300215221759998531e+04
2.502116211621161984e+18,7.211686672381655683e+01,8.139151741815415955e+10,1.121321416596613973e+08,5.786517256099092960e+08,7.354393879292622671e+01,8.932468292012561035e+10,3.871363887975157013e+03,9.301887704931903863e+04
